id,artifact,kind,segment,offset,file_offset,size,compare_size,boundary_state,origin,state,name,source,evidence_ids,replay_command,notes
th04-main-module-th04-player-m-cpp-10898,th04-main,module-candidate,PLAYER_M_TEXT,0x5DA8,0x12098,0xB8,0xB8,reviewed,authored,exact,th04/player_m.cpp,src/main/player/move.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-player-m-cpp-10898-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-player-m-cpp-10898-toolchain-replay;ev-th04-main-module-th04-player-m-cpp-10898-omf;ev-th04-main-module-th04-player-m-cpp-10898-cold;ev-th04-main-module-th04-player-m-cpp-10898-layout;ev-th04-main-module-th04-player-m-cpp-10898-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-player-m-cpp-10898-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-player-m-cpp-10898,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-module-th04-player-p-cpp-10950,th04-main,module-candidate,PLAYER_P_TEXT,0x5E60,0x12150,0x38,0x38,reviewed,authored,exact,th04/player_p.cpp,src/main/player/player.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-player-p-cpp-10950-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-player-p-cpp-10950-toolchain-replay;ev-th04-main-module-th04-player-p-cpp-10950-omf;ev-th04-main-module-th04-player-p-cpp-10950-cold;ev-th04-main-module-th04-player-p-cpp-10950-layout;ev-th04-main-module-th04-player-p-cpp-10950-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-player-p-cpp-10950-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-player-p-cpp-10950,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-module-th04-hud-ovrl-cpp-10d4b,th04-main,module-candidate,HUD_OVRL_TEXT,0x625B,0x1254B,0x806,0x806,reviewed,authored,exact,th04/hud_ovrl.cpp,src/main/hud/overlay.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-toolchain-replay;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-omf;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-cold;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-layout;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-hud-ovrl-cpp-10d4b-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-hud-ovrl-cpp-10d4b,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-module-th04-scoreupd-asm-11692,th04-main,module-candidate,MAIN_01_TEXT,0x6BA2,0x12E92,0x101,0x101,reviewed,original-asm,exact,th04/scoreupd.asm,src/main/score/update.asm,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-scoreupd-asm-11692-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-scoreupd-asm-11692-toolchain-replay;ev-th04-main-module-th04-scoreupd-asm-11692-omf;ev-th04-main-module-th04-scoreupd-asm-11692-cold;ev-th04-main-module-th04-scoreupd-asm-11692-layout;ev-th04-main-module-th04-scoreupd-asm-11692-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-scoreupd-asm-11692-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-scoreupd-asm-11692,"Complete maintained standalone TASM translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-cfg-load-resident-ptr,th04-main,function,CFG_LRES_TEXT,0x74A6,0x13796,0x31,0x31,reviewed,authored,exact,cfg_load_resident_ptr,src/main/config/load_resident_ptr.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-cfg-load-resident-ptr-boundary;ev-toolchain-surfaces;ev-th04-main-cfg-load-resident-ptr-toolchain-replay;ev-th04-main-cfg-load-resident-ptr-omf;ev-th04-main-cfg-load-resident-ptr-cold;ev-th04-main-cfg-load-resident-ptr-layout;ev-th04-main-cfg-load-resident-ptr-raw;ev-ledger-consistency-exact14;ev-th04-main-cfg-load-resident-ptr-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-cfg-load-resident-ptr,"Repository-maintained natural source passes two isolated cold builds with exact map extent, relocation overlap, valid deterministic OMF, and zero raw byte differences; see gptweb-batch14-003 evidence rows."
th04-main-module-th04-checkerb-cpp-12076,th04-main,module-candidate,CHECKERB_TEXT,0x7586,,0xAE,0xAE,provisional,authored,excluded,th04/checkerb.cpp,,ev-th04-main-authored-screen-map;ev-th04-main-authored-screen-target;ev-th04-main-checkerboard-boundary-v194;ev-th04-main-checkerboard-inline-asm-quarantine-v194;ev-th04-main-checkerboard-natural-loop-negative-v194;ev-th04-main-checkerboard-focused-negative-v194;ev-th04-main-checkerboard-optimizer-surface-negative-v396;ev-th04-main-checkerboard-crossgame-loop-negative-v396;ev-th04-main-checkerboard-loop-corpus-negative-v396;ev-th04-main-checkerboard-crossartifact-v405-negative,,Historical 0xAE checkerboard routing umbrella superseded by v408 physical ownership: exact natural prefix 0x3E + exact natural store 0x07 + reviewed blocked LOOP 0x02 + exact natural suffix 0x67. This umbrella has no file offset and receives zero byte credit; the complete function review remains blocked.
th04-main-checkerboard-prefix-v408,th04-main,code-region,CHECKERB_TEXT,0x7586,0x13876,0x3E,0x3E,reviewed,authored,exact,checkerboard_natural_prefix,src/main/stage/checkerboard_prefix.inl,ev-th04-main-target;ev-th04-main-format-integrity;ev-toolchain-surfaces;ev-ledger-consistency-exact14;ev-th04-main-checkerboard-prefix-boundary-v408;ev-th04-main-checkerboard-prefix-toolchain-v408;ev-th04-main-checkerboard-prefix-omf-v408;ev-th04-main-checkerboard-prefix-cold-v408;ev-th04-main-checkerboard-prefix-layout-v408;ev-th04-main-checkerboard-prefix-raw-v408;ev-th04-main-checkerboard-prefix-aggregate-candidate-v408;ev-th04-main-checkerboard-crossartifact-v405-negative;ev-th04-main-tc4j-pc98-ide-optimizer-surface-v406;ev-th04-main-checkerboard-prefix-aggregate-final-v408,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-checkerboard-prefix-v408 --unit th04-main-checkerboard-store-v408 --unit th04-main-checkerboard-suffix-v408,"v408 exact natural identity fragment owns 0x3E bytes (0x12076..0x120B3, function entry through MOV CX,6). Focused A/B and 272-owner candidate aggregate pass raw/MAP/ordered-relocation/OMF/determinism gates. The target-derived two-byte LOOP at load 0x120BB..0x120BC is outside this extent and receives no credit. Post-promotion 272-owner aggregate also passes twice with failures=[] (receipt 0ef5d146ff5b…)."
th04-main-checkerboard-store-v408,th04-main,code-region,CHECKERB_TEXT,0x75C4,0x138B4,0x7,0x7,reviewed,authored,exact,checkerboard_natural_store,src/main/stage/checkerboard_store.inl,ev-th04-main-target;ev-th04-main-format-integrity;ev-toolchain-surfaces;ev-ledger-consistency-exact14;ev-th04-main-checkerboard-store-boundary-v408;ev-th04-main-checkerboard-store-toolchain-v408;ev-th04-main-checkerboard-store-omf-v408;ev-th04-main-checkerboard-store-cold-v408;ev-th04-main-checkerboard-store-layout-v408;ev-th04-main-checkerboard-store-raw-v408;ev-th04-main-checkerboard-store-aggregate-candidate-v408;ev-th04-main-checkerboard-crossartifact-v405-negative;ev-th04-main-tc4j-pc98-ide-optimizer-surface-v406;ev-th04-main-checkerboard-store-aggregate-final-v408,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-checkerboard-prefix-v408 --unit th04-main-checkerboard-store-v408 --unit th04-main-checkerboard-suffix-v408,"v408 exact natural identity fragment owns 0x7 bytes (0x120B4..0x120BA, ES dword store plus ADD DI,8 immediately before LOOP). Focused A/B and 272-owner candidate aggregate pass raw/MAP/ordered-relocation/OMF/determinism gates. The target-derived two-byte LOOP at load 0x120BB..0x120BC is outside this extent and receives no credit. Post-promotion 272-owner aggregate also passes twice with failures=[] (receipt 0ef5d146ff5b…)."
th04-main-checkerboard-loop-v408,th04-main,code-region,CHECKERB_TEXT,0x75CB,0x138BB,0x2,0x2,reviewed,authored,blocked,checkerboard_counted_loop,,ev-th04-main-checkerboard-loop-boundary-v408;ev-th04-main-checkerboard-natural-loop-negative-v194;ev-th04-main-checkerboard-optimizer-surface-negative-v396;ev-th04-main-checkerboard-crossgame-loop-negative-v396;ev-th04-main-checkerboard-crossartifact-v405-negative;ev-th04-main-tc4j-pc98-ide-optimizer-surface-v406;ev-th04-main-hdi-deleted-build-provenance-v413-negative;ev-th04-main-hdi-partial-trial-v414-negative;ev-th04-main-checkerboard-semantic-lineage-v424-negative,python3 scripts/probes/probe_tc4_checkerboard_loop_forms.py,"Only remaining nonexact bytes in the reviewed 0xAE checkerboard function: target E2 F7 (LOOP back to the dword store). Natural TC4J source forms, command-line/IDE optimizer surfaces, accepted-object corpus, and all registered TH01-TH05 artifact targets provide no legal source/provenance path; keep blocked."
th04-main-checkerboard-suffix-v408,th04-main,code-region,CHECKERB_TEXT,0x75CD,0x138BD,0x67,0x67,reviewed,authored,exact,checkerboard_natural_suffix,src/main/stage/checkerboard_suffix.inl,ev-th04-main-target;ev-th04-main-format-integrity;ev-toolchain-surfaces;ev-ledger-consistency-exact14;ev-th04-main-checkerboard-suffix-boundary-v408;ev-th04-main-checkerboard-suffix-toolchain-v408;ev-th04-main-checkerboard-suffix-omf-v408;ev-th04-main-checkerboard-suffix-cold-v408;ev-th04-main-checkerboard-suffix-layout-v408;ev-th04-main-checkerboard-suffix-raw-v408;ev-th04-main-checkerboard-suffix-aggregate-candidate-v408;ev-th04-main-checkerboard-crossartifact-v405-negative;ev-th04-main-tc4j-pc98-ide-optimizer-surface-v406;ev-th04-main-checkerboard-suffix-aggregate-final-v408,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-checkerboard-prefix-v408 --unit th04-main-checkerboard-store-v408 --unit th04-main-checkerboard-suffix-v408,"v408 exact natural identity fragment owns 0x67 bytes (0x120BD..0x12123, outer row-loop continuation through final RET). Focused A/B and 272-owner candidate aggregate pass raw/MAP/ordered-relocation/OMF/determinism gates. The target-derived two-byte LOOP at load 0x120BB..0x120BC is outside this extent and receives no credit. Post-promotion 272-owner aggregate also passes twice with failures=[] (receipt 0ef5d146ff5b…)."
th04-main-module-th04-mb-inv-cpp-12124,th04-main,module-candidate,MB_INV_TEXT,0x7634,0x13924,0x33,0x33,reviewed,authored,exact,th04/mb_inv.cpp,src/main/midboss/invalidate.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-mb-inv-cpp-12124-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-mb-inv-cpp-12124-toolchain-replay;ev-th04-main-module-th04-mb-inv-cpp-12124-omf;ev-th04-main-module-th04-mb-inv-cpp-12124-cold;ev-th04-main-module-th04-mb-inv-cpp-12124-layout;ev-th04-main-module-th04-mb-inv-cpp-12124-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-mb-inv-cpp-12124-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-mb-inv-cpp-12124,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-module-th04-boss-bd-cpp-12157,th04-main,module-candidate,BOSS_BD_TEXT,0x7667,0x13957,0x27,0x27,reviewed,authored,exact,th04/boss_bd.cpp,src/main/boss/backdrop.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-boss-bd-cpp-12157-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-boss-bd-cpp-12157-toolchain-replay;ev-th04-main-module-th04-boss-bd-cpp-12157-omf;ev-th04-main-module-th04-boss-bd-cpp-12157-cold;ev-th04-main-module-th04-boss-bd-cpp-12157-layout;ev-th04-main-module-th04-boss-bd-cpp-12157-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-boss-bd-cpp-12157-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-boss-bd-cpp-12157,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-module-th04-score-rm-cpp-12a0a,th04-main,module-candidate,SCORE_TEXT,0x7F1A,0x1420A,0x2DB,0x2DB,reviewed,authored,exact,th04/score_rm.cpp,src/main/score/ranking.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-module-th04-score-rm-cpp-12a0a-boundary;ev-toolchain-surfaces;ev-th04-main-module-th04-score-rm-cpp-12a0a-toolchain-replay;ev-th04-main-module-th04-score-rm-cpp-12a0a-omf;ev-th04-main-module-th04-score-rm-cpp-12a0a-cold;ev-th04-main-module-th04-score-rm-cpp-12a0a-layout;ev-th04-main-module-th04-score-rm-cpp-12a0a-raw;ev-ledger-consistency-exact14;ev-th04-main-module-th04-score-rm-cpp-12a0a-aggregate,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th04-score-rm-cpp-12a0a,"Complete maintained natural C/C++ translation unit passes two isolated cold builds with exact map contribution, relocation overlap, deterministic valid OMF, and zero raw byte differences. Internal function-boundary accounting remains separate from module byte ownership."
th04-main-vram-planes-set,th04-main,function,SHARED,0x000E,0x148EE,0x29,0x29,reviewed,authored,exact,vram_planes_set,src/shared/hardware/vram_planes.cpp,ev-th04-main-authored-screen-target;ev-th04-main-authored-screen-map;ev-th04-main-target;ev-th04-main-format-integrity;ev-th04-main-vram-planes-set-boundary;ev-toolchain-surfaces;ev-th04-main-vram-planes-set-toolchain-replay;ev-th04-main-vram-planes-set-omf;ev-th04-main-vram-planes-set-cold;ev-th04-main-vram-planes-set-layout;ev-th04-main-vram-planes-set-raw;ev-ledger-consistency-exact14;ev-th04-main-vram-planes-set-aggregate;ev-th04-vram-planes-shared-source-v210;ev-th04-vram-planes-shared-focused-v210;ev-th04-vram-planes-shared-aggregate-v210,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-vram-planes-set,Repository-maintained natural source remains exact after v210 migration to src/shared/hardware. MAIN/OP/MAINE fixed producer identity proves shared TH04 source ownership; exact replay credit remains MAIN-local.
th04-main-module-th03-vector-cpp-13117,th04-main,module-candidate,SHARED,0x0037,0x14917,0xA0,0xA0,reviewed,original-asm,exact,vector_far_asm_owner,src/main/math/vector_far.asm,ev-th04-main-vector-far-boundary-v205;ev-th04-main-vector-far-lineage-v205;ev-th04-main-vector-far-codegen-negative-v205;ev-th04-main-vector-far-asm-probe-v205;ev-th04-main-vector-far-alignment-negative-v205;ev-th04-main-vector-far-alignment-fix-v205;ev-th04-main-target;ev-th04-main-format-integrity;ev-toolchain-surfaces;ev-th04-main-vector-far-toolchain-v205;ev-th04-main-vector-far-omf-v205;ev-th04-main-vector-far-cold-v205;ev-th04-main-vector-far-layout-v205;ev-th04-main-vector-far-raw-v205;ev-ledger-consistency-exact14;ev-th04-main-vector-far-aggregate-candidate-v205;ev-th04-main-vector-far-aggregate-final-v205,python3 scripts/replay_th04_main_exact_units.py --unit th04-main-module-th03-vector-cpp-13117,"Evidence-backed TH03/TH04/TH05-lineage irreducible/original-style symbolic TASM exactly reconstructs the complete MAIN SHARED 0xA0 producer: VECTOR2 (0x45), genuine EVEN NOP, and VECTOR2_BETWEEN_PLUS (0x5A). Legal TC4J mechanisms fail the target EDX/ECX register lifetime. Focused two-cold and 246-owner candidate aggregate replay pass raw bytes, exact byte-aligned MAP placement, the ordered IATAN2 MZ relocation, and deterministic valid OMF."
